Area name,Mother tongue name,Persons
NCT OF DELHI,MOGH,24
NCT OF DELHI,MONPA,22
NCT OF DELHI,MUNDA,783
NCT OF DELHI,MUNDARI,330
NCT OF DELHI,NISSI/DAFLA,76
NCT OF DELHI,NOCTE,10
NCT OF DELHI,PAITE,496
NCT OF DELHI,PARJI,1
NCT OF DELHI,PHOM,4
NCT OF DELHI,POCHURY,2
NCT OF DELHI,RABHA,8
NCT OF DELHI,RAI,1
NCT OF DELHI,RENGMA,10
NCT OF DELHI,SANGTAM,1
NCT OF DELHI,SAVARA,49
NCT OF DELHI,SEMA,16
NCT OF DELHI,SHERPA,17
NCT OF DELHI,SHINA,4
NCT OF DELHI,TAMANG,33
NCT OF DELHI,TANGKHUL,310
NCT OF DELHI,TANGSA,4
NCT OF DELHI,THADO,165
NCT OF DELHI,TIBETAN,1900
NCT OF DELHI,TRIPURI,58
NCT OF DELHI,TULU,209
NCT OF DELHI,VAIPHEI,90
NCT OF DELHI,WANCHO,9
NCT OF DELHI,YIMCHUNGRE,13
NCT OF DELHI,ZELIANG,1
NCT OF DELHI,ZEMI,15
NCT OF DELHI,ZOU,54
RAJASTHAN,ASSAMESE,2877
RAJASTHAN,BENGALI,81658
RAJASTHAN,BODO,106
RAJASTHAN,DOGRI,5120
RAJASTHAN,GUJARATI,67490
RAJASTHAN,HINDI,61274274
RAJASTHAN,KANNADA,5931
RAJASTHAN,KASHMIRI,4164
RAJASTHAN,KONKANI,255
RAJASTHAN,MAITHILI,11666
RAJASTHAN,MALAYALAM,24439
RAJASTHAN,MANIPURI,2168
RAJASTHAN,MARATHI,23240
RAJASTHAN,NEPALI,7636
RAJASTHAN,ODIA,17047
RAJASTHAN,PUNJABI,2274342
RAJASTHAN,SANSKRIT,2375
RAJASTHAN,SANTALI,258
RAJASTHAN,SINDHI,386569
RAJASTHAN,TAMIL,8939
RAJASTHAN,TELUGU,8350
RAJASTHAN,URDU,664915
RAJASTHAN,ADI,892
RAJASTHAN,AFGHANI/KABULI/PASHTO,174
RAJASTHAN,ANAL,7
RAJASTHAN,ANGAMI,3
RAJASTHAN,AO,9
RAJASTHAN,ARABIC/ARBI,891
RAJASTHAN,BALTI,10
RAJASTHAN,BHILI/BHILODI,3592208
RAJASTHAN,BHOTIA,33
RAJASTHAN,BHUMIJ,7
RAJASTHAN,CHAKHESANG,1
RAJASTHAN,CHAKRU/CHOKRI,57
RAJASTHAN,CHANG,4
RAJASTHAN,COORGI/KODAGU,3
RAJASTHAN,DEORI,8
RAJASTHAN,DIMASA,3
RAJASTHAN,ENGLISH,13202
RAJASTHAN,GADABA,9
RAJASTHAN,GANGTE,6
RAJASTHAN,GARO,26
RAJASTHAN,GONDI,1712
RAJASTHAN,HALABI,5
RAJASTHAN,HALAM,92
RAJASTHAN,HMAR,2
RAJASTHAN,HO,713
RAJASTHAN,JATAPU,2
RAJASTHAN,KABUI,15
RAJASTHAN,KARBI/MIKIR,3
RAJASTHAN,KHANDESHI,153
RAJASTHAN,KHARIA,77
RAJASTHAN,KHASI,65
RAJASTHAN,KHEZHA,5
RAJASTHAN,KHIEMNUNGAN,10
